RSSI,NSINR,NRSRP,NRSRQ,BSLatitude,BSLongitude,UELatitude,UELongitude,UE_location,BS_location,UE_BS_pair
-64.57499999999999,-7.9125,-87.0975,-22.56,41.864758,12.469067,41.862653,12.469817,41.862653_12.469817,41.864758_12.469067,41.862653_12.469817_41.864758_12.469067
-62.33,-2.845,-80.28,-17.825000000000003,41.864758,12.469067,41.862844,12.469765,41.862844_12.469765,41.864758_12.469067,41.862844_12.469765_41.864758_12.469067
-62.38,-0.7799999999999998,-78.945,-16.435000000000002,41.864758,12.469067,41.862938,12.469739,41.862938_12.469739,41.864758_12.469067,41.862938_12.469739_41.864758_12.469067
-54.32,-11.61,-78.34,-24.07,41.864758,12.469067,41.862982,12.469726,41.862982_12.469726,41.864758_12.469067,41.862982_12.469726_41.864758_12.469067
-55.1,-6.23,-76.63499999999999,-21.56,41.864758,12.469067,41.863075,12.469693,41.863075_12.469693,41.864758_12.469067,41.863075_12.469693_41.864758_12.469067
-61.03,1.5,-75.945,-15.15,41.864758,12.469067,41.86313,12.469674,41.86313_12.469674,41.864758_12.469067,41.86313_12.469674_41.864758_12.469067
-53.69,-1.5299999999999998,-70.19,-15.995,41.864758,12.469067,41.863218,12.469655,41.863218_12.469655,41.864758_12.469067,41.863218_12.469655_41.864758_12.469067
-56.1,-4.88,-74.46000000000001,-18.31,41.864758,12.469067,41.863268,12.469646,41.863268_12.469646,41.864758_12.469067,41.863268_12.469646_41.864758_12.469067
-55.35,-3.65,-74.07,-18.56,41.864758,12.469067,41.863306,12.469644,41.863306_12.469644,41.864758_12.469067,41.863306_12.469644_41.864758_12.469067
-55.275,-9.855,-80.25,-24.89,41.864758,12.469067,41.863323,12.469638,41.863323_12.469638,41.864758_12.469067,41.863323_12.469638_41.864758_12.469067
-55.695,-2.105,-73.02,-17.3675,41.864758,12.469067,41.863321,12.469183,41.863321_12.469183,41.864758_12.469067,41.863321_12.469183_41.864758_12.469067
-57.63,-0.285,-71.285,-13.995,41.864758,12.469067,41.863465,12.46917,41.863465_12.46917,41.864758_12.469067,41.863465_12.46917_41.864758_12.469067
-53.05,8.895,-62.875,-9.825,41.864758,12.469067,41.863515,12.469245,41.863515_12.469245,41.864758_12.469067,41.863515_12.469245_41.864758_12.469067
-51.84,-0.555,-66.72,-14.75,41.864758,12.469067,41.863671,12.469532,41.863671_12.469532,41.864758_12.469067,41.863671_12.469532_41.864758_12.469067
-58.72,4.145,-70.535,-11.69,41.864758,12.469067,41.863753,12.469502,41.863753_12.469502,41.864758_12.469067,41.863753_12.469502_41.864758_12.469067
-54.62,8.934999999999999,-64.435,-9.81,41.864758,12.469067,41.863846,12.469478,41.863846_12.469478,41.864758_12.469067,41.863846_12.469478_41.864758_12.469067
-55.23,5.75,-66.7225,-11.375,41.864758,12.469067,41.863927,12.46945,41.863927_12.46945,41.864758_12.469067,41.863927_12.46945_41.864758_12.469067
-54.92,10.01,-64.395,-9.465,41.864758,12.469067,41.864101,12.469432,41.864101_12.469432,41.864758_12.469067,41.864101_12.469432_41.864758_12.469067
-57.47,10.505,-66.67,-9.19,41.864758,12.469067,41.864157,12.469407,41.864157_12.469407,41.864758_12.469067,41.864157_12.469407_41.864758_12.469067
-53.16,3.245,-65.86250000000001,-12.7225,41.864758,12.469067,41.864331,12.469296,41.864331_12.469296,41.864758_12.469067,41.864331_12.469296_41.864758_12.469067
-54.14,7.56,-64.82,-10.68,41.864758,12.469067,41.864348,12.469295,41.864348_12.469295,41.864758_12.469067,41.864348_12.469295_41.864758_12.469067
-52.30500000000001,5.5075,-63.73,-11.4625,41.864758,12.469067,41.86435,12.469318,41.86435_12.469318,41.864758_12.469067,41.86435_12.469318_41.864758_12.469067
-52.26,6.69,-62.77,-10.5,41.864758,12.469067,41.86435,12.469328,41.86435_12.469328,41.864758_12.469067,41.86435_12.469328_41.864758_12.469067
-53.36,11.38,-62.245000000000005,-8.88,41.864758,12.469067,41.864347,12.469328,41.864347_12.469328,41.864758_12.469067,41.864347_12.469328_41.864758_12.469067
-52.56,9.825,-61.83,-9.25,41.864758,12.469067,41.864342,12.469328,41.864342_12.469328,41.864758_12.469067,41.864342_12.469328_41.864758_12.469067
-52.72,9.76,-62.15,-9.43,41.864758,12.469067,41.864334,12.469329,41.864334_12.469329,41.864758_12.469067,41.864334_12.469329_41.864758_12.469067
-52.87,9.835,-62.455,-9.575,41.864758,12.469067,41.86433,12.469333,41.86433_12.469333,41.864758_12.469067,41.86433_12.469333_41.864758_12.469067
-54.11,12.08,-62.915,-8.795,41.864758,12.469067,41.864327,12.469336,41.864327_12.469336,41.864758_12.469067,41.864327_12.469336_41.864758_12.469067
-53.836666666666666,10.148333333333332,-62.98333333333333,-9.136666666666663,41.864758,12.469067,41.864325,12.469336,41.864325_12.469336,41.864758_12.469067,41.864325_12.469336_41.864758_12.469067
-53.77,12.39,-62.6,-8.83,41.864758,12.469067,41.864328,12.46933,41.864328_12.46933,41.864758_12.469067,41.864328_12.46933_41.864758_12.469067
-53.72,11.42,-62.475,-8.75,41.864758,12.469067,41.86433,12.46933,41.86433_12.46933,41.864758_12.469067,41.86433_12.46933_41.864758_12.469067
-56.91,4.305,-69.07499999999999,-12.3,41.864758,12.469067,41.864335,12.469326,41.864335_12.469326,41.864758_12.469067,41.864335_12.469326_41.864758_12.469067
-57.04,7.5,-67.505,-10.455,41.864758,12.469067,41.864346,12.469316,41.864346_12.469316,41.864758_12.469067,41.864346_12.469316_41.864758_12.469067
-56.08,5.35,-67.99,-12.03,41.864758,12.469067,41.86442,12.469213,41.86442_12.469213,41.864758_12.469067,41.86442_12.469213_41.864758_12.469067
-55.79,8.98,-65.205,-9.415,41.864758,12.469067,41.864438,12.469175,41.864438_12.469175,41.864758_12.469067,41.864438_12.469175_41.864758_12.469067
-56.83,12.9,-65.735,-8.895,41.864758,12.469067,41.864476,12.46907,41.864476_12.46907,41.864758_12.469067,41.864476_12.46907_41.864758_12.469067
-61.01,14.98,-69.83500000000001,-8.815,41.864758,12.469067,41.864548,12.468801,41.864548_12.468801,41.864758_12.469067,41.864548_12.468801_41.864758_12.469067
-69.73,7.267,-80.21199999999999,-10.472,41.864758,12.469067,41.864576,12.468692,41.864576_12.468692,41.864758_12.469067,41.864576_12.468692_41.864758_12.469067
-69.58,-13.54,-94.25,-24.7,41.864758,12.469067,41.873108,12.466358,41.873108_12.466358,41.864758_12.469067,41.873108_12.466358_41.864758_12.469067
-79.04,-15.08,-105.04,-26.025,41.864758,12.469067,41.872647,12.467251,41.872647_12.467251,41.864758_12.469067,41.872647_12.467251_41.864758_12.469067
